@relation trainingdata

@attribute PageName string
@attribute RedirectPattern numeric
@attribute totalWords numeric
@attribute ClassName {Student, Faculty, Courses}
@attribute TitlePattern numeric
@attribute syllabus numeric
@attribute assignments numeric
@attribute software numeric
@attribute tx numeric
@attribute student numeric
@attribute university numeric
@attribute areas numeric
@attribute office numeric
@attribute texas numeric
@attribute research numeric
@attribute faculty numeric
@attribute sciences numeric
@attribute 1996 numeric
@attribute computing numeric
@attribute web numeric
@attribute systems numeric
@attribute austin numeric
@attribute contact numeric
@attribute course numeric
@attribute ph.d. numeric
@attribute department numeric
@attribute class numeric
@attribute recent numeric
@attribute engineering numeric
@attribute home numeric
@attribute professor numeric
@attribute cse numeric
@attribute science numeric
@attribute information numeric
@attribute page numeric
@attribute publications numeric

@data

http_^^www.cs.washington.edu^homes^salisbur^, 0, 35, Student, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0
http_^^www.cs.washington.edu^education^courses^505^CurrentQuarter^, 0, 191, Courses, 1, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0
http_^^www.cs.utexas.edu^users^kharker^, 0, 128, Student, 0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0
http_^^www.cs.washington.edu^education^courses^457^, 0, 195, Courses, 1, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0
http_^^www.cs.washington.edu^education^courses^505^fall94, 1, 10, Courses, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
http_^^www.cs.washington.edu^education^courses^421^, 0, 195, Courses, 1, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0
http_^^www.cs.washington.edu^people^faculty^lazowska^, 0, 868, Faculty, 0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0
http_^^www.cs.washington.edu^homes^pardo^, 0, 242, Student, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
http_^^www.cs.washington.edu^homes^tompa^.html, 0, 92, Faculty, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
